sep=,
"type","message","id","userId","createdAt","_rid","_self","_etag","_attachments","_ts"
"1","/chat/2dd52950-e845-495f-ab05-351939d8fdc5","4bf6f0ee-76cf-4d1f-9ca5-b77df7460caa","c2b2a951774a41c283448dcc9bec891e","2025-06-24T05:49:44.6207057Z","rdhqAIkad7T1AQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7T1AQAAAAAAAA==/","""2c00127a-0000-1600-0000-685a3c780000""","attachments/","1750744184"
"1","/chat/d7239565-06a1-4c14-a47a-d0df968602ef","34feb590-34bb-4e73-9ec2-8c83a0274330","c2b2a951774a41c283448dcc9bec891e","2025-06-24T05:49:50.6667727Z","rdhqAIkad7T2AQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7T2AQAAAAAAAA==/","""2c00257a-0000-1600-0000-685a3c7e0000""","attachments/","1750744190"
"1","/chat/2dd52950-e845-495f-ab05-351939d8fdc5","c9d0da8e-4ba5-4b13-bd0a-10422039da9a","c2b2a951774a41c283448dcc9bec891e","2025-06-24T05:49:51.3659283Z","rdhqAIkad7T3AQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7T3AQAAAAAAAA==/","""2c00277a-0000-1600-0000-685a3c7f0000""","attachments/","1750744191"
"1","/chat/dce203e9-bbef-4e4f-9304-3c98e7cba0aa","822741c3-3a16-489c-affd-ba978a00f54e","9250399f97714bbc9cf82b2e39c83b3a","2025-06-24T06:05:19.5318729Z","rdhqAIkad7T4AQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7T4AQAAAAAAAA==/","""2c00b484-0000-1600-0000-685a401f0000""","attachments/","1750745119"
"1","/chat/","73654b8d-4610-44b2-9776-6ed10130104a","a31b03cff7ce4570a611100887b0c69f","2025-06-24T06:24:20.3577457Z","rdhqAIkad7T5AQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7T5AQAAAAAAAA==/","""2c0040a4-0000-1600-0000-685a44940000""","attachments/","1750746260"
"1","/chat/bf9fd738-4b3b-49b5-89dc-fa42fd782929","a335a675-65c8-4aeb-9475-75afb62c6933","a31b03cff7ce4570a611100887b0c69f","2025-06-24T06:25:48.8118222Z","rdhqAIkad7T6AQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7T6AQAAAAAAAA==/","""2c0043a9-0000-1600-0000-685a44ec0000""","attachments/","1750746348"
"1","/chat/","cc85a93d-d2e1-483d-ac51-264d8249526a","a31b03cff7ce4570a611100887b0c69f","2025-06-24T06:27:27.3709211Z","rdhqAIkad7T7AQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7T7AQAAAAAAAA==/","""2c0092ac-0000-1600-0000-685a454f0000""","attachments/","1750746447"
"1","/chat/","80e6ce1e-5b57-49e2-94b5-c511696d7000","c2b2a951774a41c283448dcc9bec891e","2025-06-24T07:22:50.4316231Z","rdhqAIkad7T8AQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7T8AQAAAAAAAA==/","""2c00e6dd-0000-1600-0000-685a524a0000""","attachments/","1750749770"
"1","/chat/2dd52950-e845-495f-ab05-351939d8fdc5","07f736ae-d298-453f-9a16-6650739cd6f6","c2b2a951774a41c283448dcc9bec891e","2025-06-24T07:22:53.2155663Z","rdhqAIkad7T9AQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7T9AQAAAAAAAA==/","""2c00e7dd-0000-1600-0000-685a524d0000""","attachments/","1750749773"
"1","/chat/2dd52950-e845-495f-ab05-351939d8fdc5","d2ea03dd-2673-40f9-aeb1-ab9c0d8e5131","c2b2a951774a41c283448dcc9bec891e","2025-06-24T07:22:58.7939131Z","rdhqAIkad7T+AQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7T+AQAAAAAAAA==/","""2c00f5dd-0000-1600-0000-685a52520000""","attachments/","1750749778"
"1","/chat/2dd52950-e845-495f-ab05-351939d8fdc5","5d08cf5a-74bb-4767-a5fc-813a8cb40f61","c2b2a951774a41c283448dcc9bec891e","2025-06-24T07:22:58.6147567Z","rdhqAIkad7T-AQAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7T-AQAAAAAAAA==/","""2c00f7dd-0000-1600-0000-685a52530000""","attachments/","1750749779"
"1","/chat/d7239565-06a1-4c14-a47a-d0df968602ef","7e29d6de-fbe3-44f3-8de3-819d0bcce57b","c2b2a951774a41c283448dcc9bec891e","2025-06-24T07:22:58.6147758Z","rdhqAIkad7QAAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7QAAgAAAAAAAA==/","""2c00f8dd-0000-1600-0000-685a52530000""","attachments/","1750749779"
"1","/chat/d7239565-06a1-4c14-a47a-d0df968602ef","bad4ed65-ebb6-4701-9be2-c4244c5e4b9e","c2b2a951774a41c283448dcc9bec891e","2025-06-24T07:22:58.6147678Z","rdhqAIkad7QBAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7QBAgAAAAAAAA==/","""2c00f9dd-0000-1600-0000-685a52530000""","attachments/","1750749779"
"1","/metrics","5cf3a294-9938-4491-b053-f2b425ce5853","c2b2a951774a41c283448dcc9bec891e","2025-06-24T07:22:59.9902406Z","rdhqAIkad7QCAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7QCAgAAAAAAAA==/","""2c00fbdd-0000-1600-0000-685a52530000""","attachments/","1750749779"
"1","/chat","cd3d7f14-57c9-40eb-82f1-dc8a9d0d2ca4","c2b2a951774a41c283448dcc9bec891e","2025-06-24T07:23:15.6117998Z","rdhqAIkad7QDAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7QDAgAAAAAAAA==/","""2c001fde-0000-1600-0000-685a52630000""","attachments/","1750749795"
"1","/chat/3b6749fd-73da-4560-86aa-102e14d823a7","b5a500c7-74cf-4afe-9edf-8f0d7ad0c6e1","c2b2a951774a41c283448dcc9bec891e","2025-06-24T07:23:50.6128469Z","rdhqAIkad7QEAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7QEAgAAAAAAAA==/","""2c0087de-0000-1600-0000-685a52860000""","attachments/","1750749830"
"1","/chat/2c37b9f0-6e65-4ab7-9b14-a70e3f9af04f","ab8167df-7947-4a09-a082-a4f3ebbf0710","a31b03cff7ce4570a611100887b0c69f","2025-06-24T07:55:41.8354439Z","rdhqAIkad7QFAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7QFAgAAAAAAAA==/","""2c0090f2-0000-1600-0000-685a59fe0000""","attachments/","1750751742"
"1","/chat/","8b1ed716-7c05-4a7a-98ea-7c81953e1201","57d3c344f9064581b9a4cf65dded0fce","2025-06-24T08:59:14.8552047Z","rdhqAIkad7QGAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7QGAgAAAAAAAA==/","""2d006f22-0000-1600-0000-685a68e20000""","attachments/","1750755554"
"1","/chat","a4467482-c3a1-4bd7-bbf4-dd8bf6904bf6","9250399f97714bbc9cf82b2e39c83b3a","2025-06-24T09:32:49.370591Z","rdhqAIkad7QHAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7QHAgAAAAAAAA==/","""2d00de4c-0000-1600-0000-685a70c10000""","attachments/","1750757569"
"1","/chat/8ac93b5b-21a0-478b-865f-c4ee9dc35d5f","04edfa22-097b-4580-9ce4-e6cdc1d499bc","9250399f97714bbc9cf82b2e39c83b3a","2025-06-24T09:32:54.3061055Z","rdhqAIkad7QIAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7QIAgAAAAAAAA==/","""2d00054d-0000-1600-0000-685a70c60000""","attachments/","1750757574"
"1","/metrics","584df887-79db-4da1-8b77-736a5bdb8200","57d3c344f9064581b9a4cf65dded0fce","2025-06-24T10:22:45.9450206Z","rdhqAIkad7QJAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7QJAgAAAAAAAA==/","""2d007a7e-0000-1600-0000-685a7c760000""","attachments/","1750760566"
"1","/metrics","30f66870-552e-4800-90e5-925ed1f92fd6","57d3c344f9064581b9a4cf65dded0fce","2025-06-24T10:22:52.5257511Z","rdhqAIkad7QKAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7QKAgAAAAAAAA==/","""2d007c7e-0000-1600-0000-685a7c7c0000""","attachments/","1750760572"
"1","/chat","47fe49fe-7105-4b2c-83ec-740e21fe2529","57d3c344f9064581b9a4cf65dded0fce","2025-06-24T10:23:13.22121Z","rdhqAIkad7QLAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7QLAgAAAAAAAA==/","""2d00a27e-0000-1600-0000-685a7c910000""","attachments/","1750760593"
"1","/chat/4156202f-e114-4199-ab8b-857c0b51b095","42bc63ec-dcaf-4c95-953c-3b8e98e1071a","57d3c344f9064581b9a4cf65dded0fce","2025-06-24T10:23:30.5944605Z","rdhqAIkad7QMAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7QMAgAAAAAAAA==/","""2d00d37e-0000-1600-0000-685a7ca20000""","attachments/","1750760610"
"1","/chat","22e83239-430b-47e4-8524-0128aeb0db4f","c2b2a951774a41c283448dcc9bec891e","2025-06-24T11:33:07.7726208Z","rdhqAIkad7QNAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7QNAgAAAAAAAA==/","""2d00f8c2-0000-1600-0000-685a8cf40000""","attachments/","1750764788"
"1","/chat/5750c787-0ed1-42c6-b26e-9dfaf8cda3d0","e00cea70-0568-43ab-aab5-2c8edde2f0e2","c2b2a951774a41c283448dcc9bec891e","2025-06-24T11:33:17.9915272Z","rdhqAIkad7QOAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7QOAgAAAAAAAA==/","""2d0006c3-0000-1600-0000-685a8cfe0000""","attachments/","1750764798"
"1","/chat/5750c787-0ed1-42c6-b26e-9dfaf8cda3d0","97fd47ed-2100-449c-b5bd-d19c7dd96d3a","c2b2a951774a41c283448dcc9bec891e","2025-06-24T11:33:34.585644Z","rdhqAIkad7QPAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7QPAgAAAAAAAA==/","""2d002fc3-0000-1600-0000-685a8d0e0000""","attachments/","1750764814"
"1","/","f6d012b0-9cf9-47cf-bcc3-2590b2023281","9250399f97714bbc9cf82b2e39c83b3a","2025-06-24T11:33:35.9446203Z","rdhqAIkad7QQAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7QQAgAAAAAAAA==/","""2d0038c3-0000-1600-0000-685a8d100000""","attachments/","1750764816"
