sep=,
"type","message","id","userId","createdAt","_rid","_self","_etag","_attachments","_ts"
"1","/chat/","0bafb03b-a41b-47ec-b548-878e821fde54","574a8d9990e8493287c906ad9d943125","2025-06-27T11:59:53.3646755Z","rdhqAIkad7S9AgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7S9AgAAAAAAAA==/","""44005a53-0000-1600-0000-685e87b90000""","attachments/","1751025593"
"1","/chat/fc85c80a-630d-425b-80b0-426e28b1ab10","be4b86de-d2b1-4623-bdef-1901a1fc8083","574a8d9990e8493287c906ad9d943125","2025-06-27T12:00:31.1259919Z","rdhqAIkad7S+AgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7S+AgAAAAAAAA==/","""4400b653-0000-1600-0000-685e87df0000""","attachments/","1751025631"
"1","/metrics","5189f502-add6-41da-983f-6706d3b4b08c","574a8d9990e8493287c906ad9d943125","2025-06-27T12:02:10.872056Z","rdhqAIkad7S-AgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7S-AgAAAAAAAA==/","""4400ba54-0000-1600-0000-685e88430000""","attachments/","1751025731"
"1","/chat/","8fe38a7b-8edf-4451-aac6-c322cbb04f1a","a31b03cff7ce4570a611100887b0c69f","2025-06-27T12:06:04.2441157Z","rdhqAIkad7TAAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7TAAgAAAAAAAA==/","""4400f956-0000-1600-0000-685e892c0000""","attachments/","1751025964"
"1","/chat/767c482b-cdab-4727-8538-dcd931b0ccd0","862e1d55-a2ee-4f06-bee2-fd5629a78c81","a31b03cff7ce4570a611100887b0c69f","2025-06-27T12:06:51.0989653Z","rdhqAIkad7TBAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7TBAgAAAAAAAA==/","""44006157-0000-1600-0000-685e895b0000""","attachments/","1751026011"
"1","/chat/","6120bd7f-0155-478a-a51e-e181bc0ecd46","de3e3163a6e04819a87f34df897f78aa","2025-06-27T12:11:53.359716Z","rdhqAIkad7TCAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7TCAgAAAAAAAA==/","""4400725c-0000-1600-0000-685e8a890000""","attachments/","1751026313"
"1","/chat/4aefca61-3b6b-4686-9849-9463a4308f22","a0643e5e-1605-451f-a7f7-23c05c774c62","de3e3163a6e04819a87f34df897f78aa","2025-06-27T12:11:54.6189484Z","rdhqAIkad7TDAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7TDAgAAAAAAAA==/","""4400885c-0000-1600-0000-685e8a8a0000""","attachments/","1751026314"
"1","/chat","2da75c3e-19c9-4014-b8b7-29224fdad2f8","de3e3163a6e04819a87f34df897f78aa","2025-06-27T12:11:56.0202703Z","rdhqAIkad7TEAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7TEAgAAAAAAAA==/","""4400935c-0000-1600-0000-685e8a8c0000""","attachments/","1751026316"
"1","/chat/c94ed879-302d-42b9-a9ca-cdde45db51c3","5bc72d62-fe76-4557-ad21-726d25947b3d","de3e3163a6e04819a87f34df897f78aa","2025-06-27T12:12:00.2197573Z","rdhqAIkad7TFAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7TFAgAAAAAAAA==/","""44009b5c-0000-1600-0000-685e8a900000""","attachments/","1751026320"
"1","/chat/4aefca61-3b6b-4686-9849-9463a4308f22","2c49aedd-9a7d-472e-a411-4a7156847326","de3e3163a6e04819a87f34df897f78aa","2025-06-27T12:54:27.0531189Z","rdhqAIkad7TGAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7TGAgAAAAAAAA==/","""44005680-0000-1600-0000-685e94830000""","attachments/","1751028867"
"1","/chat/c94ed879-302d-42b9-a9ca-cdde45db51c3","192793af-ab87-4adf-9190-cd0d3f0b1ce8","de3e3163a6e04819a87f34df897f78aa","2025-06-27T12:54:27.4104362Z","rdhqAIkad7THAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7THAgAAAAAAAA==/","""44005780-0000-1600-0000-685e94830000""","attachments/","1751028867"
"1","/chat/","00cb1e67-2000-49dc-ad67-d58956817b26","57d3c344f9064581b9a4cf65dded0fce","2025-06-27T13:29:31.9788348Z","rdhqAIkad7TIAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7TIAgAAAAAAAA==/","""4400c7aa-0000-1600-0000-685e9cbc0000""","attachments/","1751030972"
"1","/chat","94edbadb-e9fd-496f-87aa-b8d9cf4a3f52","57d3c344f9064581b9a4cf65dded0fce","2025-06-27T13:29:48.6069564Z","rdhqAIkad7TJAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7TJAgAAAAAAAA==/","""4400f1aa-0000-1600-0000-685e9ccc0000""","attachments/","1751030988"
"1","/chat/46955ff7-4cef-4832-935f-7d163f00afa1","326a6171-1aa4-4cf9-88c5-68a08778d0f4","57d3c344f9064581b9a4cf65dded0fce","2025-06-27T13:30:01.9844593Z","rdhqAIkad7TKAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7TKAgAAAAAAAA==/","""440009ab-0000-1600-0000-685e9cd90000""","attachments/","1751031001"
"1","/chat","8cc81697-d672-4911-b1f0-e87f5d0da447","57d3c344f9064581b9a4cf65dded0fce","2025-06-27T13:30:21.2208938Z","rdhqAIkad7TLAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7TLAgAAAAAAAA==/","""440051ac-0000-1600-0000-685e9ced0000""","attachments/","1751031021"
"1","/chat/e469eb33-3b8d-41d8-9f72-6475bb1aa57e","8174b4f1-e693-492e-a3e5-7f272deccff4","57d3c344f9064581b9a4cf65dded0fce","2025-06-27T13:31:00.1993195Z","rdhqAIkad7TMAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7TMAgAAAAAAAA==/","""4400f5ad-0000-1600-0000-685e9d140000""","attachments/","1751031060"
"1","/chat/","c33c05b0-4471-4d10-9b98-b8dd7e38ef1d","90d6086d99f54dbaa068194917cd7aa7","2025-06-27T14:00:38.9210691Z","rdhqAIkad7TNAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7TNAgAAAAAAAA==/","""440010c7-0000-1600-0000-685ea4070000""","attachments/","1751032839"
"1","/chat/6483718c-1e2d-4cc3-82d9-93c24737e914","2dbbd3a2-75b7-4ab7-a6b2-38111d846007","90d6086d99f54dbaa068194917cd7aa7","2025-06-27T14:03:54.7869643Z","rdhqAIkad7TOAgAAAAAAAA==","dbs/rdhqAA==/colls/rdhqAIkad7Q=/docs/rdhqAIkad7TOAgAAAAAAAA==/","""440004c9-0000-1600-0000-685ea4ca0000""","attachments/","1751033034"
